OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 01/2020 To 11/2023 | Facility=MCO, ACY, AMA, ANC, APA, ATL, AUS, AVL, BCT, BDL, BED, BFI, BFM, BJC, BKL, BNA, BOS, BTR, BUF, BWI, BZN, CHO, CHS, CID, CMA, CMH, DAL, DCA, DEN, DSM, DTW, EGE, EWR, EYW, FAT, FAY, FDK, FLL, FSD, FSM, FTW, FTY, FXE, GEG, GRB, GRR, GSO, GYY, HEF, HNL, HOU, HPN, HSV, HXD, IAD, IAH, ICT, IFP, IND, INT, ISM, ITO, IXD, JAX, KOA, LAS, LAX, LEX, LFT, LGB, LIH, LIT, LRD, LUK, MAF, MCI, MDW, MEM, MHT, MIA, MKC, MKE, MMU, MOB, MSP, MSY, NEW, OAK, OGG, OMA, OPF, ORD, ORF, PBI, PDK, PIE, PSP, PVU, PWK, RDU, ROA, RST, SAF, SAN, SAT, SAV, SBA, SDL, SEA, SFO, SHV, SJC, SLC, STL, STP, STS, STT, SUS, SWF, TEB, TMB, TPA, TTN, TXK, TYS, UGN, VNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
Aug-21,MKC,MO,ACE,CE,Towers with Radar,41,"1,556","1,671",20,"3,288",3,0,1,0,4,0,371,"2,642",40,"3,053",1,401,626,29,"1,057","3,374",2,"3,376","9,717","10,778",
Aug-21,MKE,WI,AGL,CE,Combined TRACON & Tower with Radar,"4,492","1,999",797,176,"7,464",3,9,41,0,53,0,76,374,19,469,0,18,91,4,113,12,0,12,"7,945","8,111",
Aug-21,MMU,NJ,AEA,EN,Towers with Radar,0,"1,090","1,485",4,"2,579",2,82,132,0,216,0,13,"2,510",5,"2,528",0,7,577,5,589,"4,014",1,"4,015","9,122","9,927",
Aug-21,MOB,AL,ASO,CE,Combined TRACON & Tower with Radar,562,429,338,"1,944","3,273",0,1,6,12,19,0,14,321,944,"1,279",0,45,23,16,84,396,"1,730","2,126","6,678","6,781",
Aug-21,MSP,MN,AGL,CE,Towers with Radar,"23,151","4,759",624,203,"28,737",132,261,742,16,"1,151",1,15,87,8,111,0,454,452,22,928,0,0,0,"28,848","30,927",
Aug-21,MSY,LA,ASW,CE,Combined TRACON & Tower with Radar,"6,919",420,632,19,"7,990",21,3,12,11,47,1,173,143,14,331,0,275,213,103,591,0,0,0,"8,321","8,959",
Aug-21,NEW,LA,ASW,CE,Towers with Radar,0,216,"1,184",120,"1,520",3,0,4,6,13,0,155,"1,595",69,"1,819",0,42,48,29,119,"2,088",117,"2,205","5,544","5,676",
Aug-21,OAK,CA,AWP,WE,Towers with Radar,"8,526","2,280","1,197",7,"12,010",5,65,199,0,269,0,195,"1,596",8,"1,799",0,80,839,60,979,"3,441",0,"3,441","17,250","18,498",
Aug-21,OGG,HI,AWP,WE,Towers with Radar,"5,596",522,287,55,"6,460",0,0,0,0,0,0,"5,479",991,61,"6,531",0,138,61,6,205,697,18,715,"13,706","13,911",
Aug-21,OMA,NE,ACE,CE,Towers with Radar,"4,194","1,528","1,299",278,"7,299",2,0,8,2,12,1,35,594,33,663,0,99,217,1,317,617,66,683,"8,645","8,974",
Aug-21,OPF,FL,ASO,ES,Federal Contract Tower,1,"1,287","3,737",62,"5,087",0,0,0,0,0,0,131,"2,798",239,"3,168",0,8,748,2,758,"3,222",92,"3,314","11,569","12,327",
Aug-21,ORD,IL,AGL,CE,Towers with Radar,"54,185","14,485",272,1,"68,943",17,17,3,0,37,1,1,90,0,92,0,3,14,0,17,0,0,0,"69,035","69,089",
Aug-21,ORF,VA,AEA,EN,Combined TRACON & Tower with Radar,"3,666",671,920,13,"5,270",21,1,8,167,197,0,8,488,16,512,0,0,25,91,116,11,2,13,"5,795","6,108",
Aug-21,PBI,FL,ASO,ES,Combined TRACON & Tower with Radar,"3,317","1,981","2,258",27,"7,583",0,1,5,5,11,1,131,"1,312",22,"1,466",0,69,630,19,718,0,0,0,"9,049","9,778",
Aug-21,PDK,GA,ASO,ES,Towers with Radar,6,"1,923","3,804",25,"5,758",0,5,19,19,43,0,105,"4,052",7,"4,164",0,68,649,24,741,"4,989",0,"4,989","14,911","15,695",
Aug-21,PIE,FL,ASO,ES,Towers with Radar,"1,067",381,"1,877",197,"3,522",3,2,56,3,64,0,11,"1,645",350,"2,006",0,1,344,45,390,"4,371",240,"4,611","10,139","10,593",
Aug-21,PSP,CA,AWP,WE,Towers with Radar,"1,480",306,263,27,"2,076",1,4,4,4,13,0,77,483,25,585,0,91,100,7,198,183,0,183,"2,844","3,055",
Aug-21,PVU,UT,ANM,WE,Federal Contract Tower,123,149,"1,152",16,"1,440",0,2,16,0,18,0,24,"3,414",14,"3,452",0,300,265,4,569,"4,899",8,"4,907","9,799","10,386",
Aug-21,PWK,IL,AGL,CE,Towers with Radar,3,"1,894","2,268",2,"4,167",1,3,0,0,4,0,28,"3,066",21,"3,115",0,0,92,2,94,"2,618",0,"2,618","9,900","9,998",
Aug-21,RDU,NC,ASO,EN,Combined TRACON & Tower with Radar,"8,853","1,179","2,481",92,"12,605",16,0,4,1,21,1,10,"2,618",167,"2,796",0,9,30,15,54,95,10,105,"15,506","15,581",
Aug-21,ROA,VA,AEA,EN,Combined TRACON & Tower with Radar,369,881,497,48,"1,795",2,3,5,6,16,0,7,731,34,772,0,22,35,15,72,984,44,"1,028","3,595","3,683",
Aug-21,RST,MN,AGL,CE,Combined TRACON & Tower with Radar,179,"1,040","1,067",71,"2,357",0,19,8,0,27,0,240,"1,173",32,"1,445",0,122,89,0,211,"1,724",212,"1,936","5,738","5,976",
Aug-21,SAF,NM,ASW,CE,Federal Contract Tower,342,690,966,76,"2,074",2,0,1,0,3,0,89,"1,192",69,"1,350",0,42,15,0,57,"1,814",42,"1,856","5,280","5,340",
Aug-21,SAN,CA,AWP,WE,Towers with Radar,"13,739","1,390",957,33,"16,119",4,2,1,2,9,2,23,196,68,289,1,69,"1,631","1,633","3,334",0,0,0,"16,408","19,751",
Aug-21,SAT,TX,ASW,CE,Combined TRACON & Tower with Radar,"6,684","1,461","2,683",332,"11,160",15,5,10,11,41,0,173,"1,141",107,"1,421",0,141,453,73,667,0,0,0,"12,581","13,289",
Aug-21,SAV,GA,ASO,ES,Combined TRACON & Tower with Radar,"3,577",984,"1,882",236,"6,679",2,2,0,9,13,0,56,"2,559",128,"2,743",0,48,54,13,115,0,0,0,"9,422","9,550",
Aug-21,SBA,CA,AWP,WE,Combined TRACON & Tower with Radar,"1,082","1,462","1,672",80,"4,296",4,7,4,0,15,0,19,"2,316",37,"2,372",0,37,55,5,97,"3,106",130,"3,236","9,904","10,016",
Aug-21,SDL,AZ,AWP,CE,Towers with Radar,0,609,"1,307",10,"1,926",0,4,12,0,16,0,639,"1,604",10,"2,253",0,95,308,2,405,"2,621",0,"2,621","6,800","7,221",
Aug-21,SEA,WA,ANM,WE,Towers with Radar,"36,508",334,116,4,"36,962",17,43,13,0,73,1,91,43,3,138,0,11,48,0,59,0,0,0,"37,100","37,232",
Aug-21,SFO,CA,AWP,WE,Towers with Radar,"20,986","4,049",574,23,"25,632",23,0,2,0,25,0,115,53,262,430,0,47,388,15,450,0,0,0,"26,062","26,537",
Aug-21,SHV,LA,ASW,CE,Combined TRACON & Tower with Radar,"1,095",616,455,251,"2,417",3,1,5,0,9,0,58,322,32,412,0,60,63,1,124,208,14,222,"3,051","3,184",
Aug-21,SJC,CA,AWP,WE,Towers with Radar,"7,581","1,734","1,461",2,"10,778",1,228,248,22,499,0,43,880,94,"1,017",0,123,611,144,878,578,2,580,"12,375","13,752",
Aug-21,SLC,UT,ANM,WE,Towers with Radar,"21,577","5,046","2,258",157,"29,038",1,1,20,0,22,1,272,"2,015",134,"2,422",0,300,962,135,"1,397",0,0,0,"31,460","32,879",
Aug-21,STL,MO,ACE,CE,Towers with Radar,"10,610","1,816",419,109,"12,954",11,84,143,7,245,0,52,78,95,225,0,40,200,21,261,6,35,41,"13,220","13,726",
Aug-21,STP,MN,AGL,CE,Towers with Radar,0,585,"1,352",50,"1,987",0,1,22,0,23,0,80,839,175,"1,094",0,96,303,6,405,942,114,"1,056","4,137","4,565",
Aug-21,STS,CA,AWP,WE,Towers with Radar,698,531,915,8,"2,152",0,2,0,0,2,0,468,"2,640",13,"3,121",0,79,127,0,206,"2,846",34,"2,880","8,153","8,361",
Aug-21,STT,VI,ASO,ES,Towers with Radar,"1,146",535,149,0,"1,830",0,0,2,0,2,0,"1,528",502,19,"2,049",0,310,4,3,317,256,0,256,"4,135","4,454",
Aug-21,SUS,MO,ACE,CE,Towers with Radar,7,"1,131","1,958",101,"3,197",0,1,15,0,16,0,30,"2,908",13,"2,951",0,6,212,2,220,"6,263",12,"6,275","12,423","12,659",
Aug-21,SWF,NY,AEA,EN,Federal Contract Tower,219,296,488,94,"1,097",0,1,20,0,21,0,48,"1,081",119,"1,248",0,4,152,1,157,812,188,"1,000","3,345","3,523",
Aug-21,TEB,NJ,AEA,EN,Towers with Radar,5,"5,851","4,937",12,"10,805","5,469",223,58,1,"5,751",0,467,944,17,"1,428",0,153,472,7,632,0,0,0,"12,233","18,616",
Aug-21,TMB,FL,ASO,ES,Towers with Radar,0,238,"1,631",9,"1,878",1,0,3,0,4,0,18,"5,746",3,"5,767",0,1,154,3,158,"8,254",0,"8,254","15,899","16,061",
Aug-21,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,"12,538","1,316","1,482",50,"15,386",23,3,15,3,44,13,56,436,10,515,0,28,588,73,689,0,0,0,"15,901","16,634",
Aug-21,TTN,NJ,AEA,EN,Federal Contract Tower,336,378,817,9,"1,540",0,0,5,0,5,0,1,"3,208",11,"3,220",0,0,229,2,231,995,0,995,"5,755","5,991",
Aug-21,TXK,AR,ASW,CE,Federal Contract Tower,0,275,482,91,848,0,27,60,33,120,0,189,651,17,857,0,170,79,0,249,"1,624",150,"1,774","3,479","3,848",
Aug-21,TYS,TN,ASO,ES,Combined TRACON & Tower with Radar,"2,079","1,664","2,704",589,"7,036",0,0,1,0,1,0,19,"1,205",134,"1,358",0,9,5,0,14,"1,802",484,"2,286","10,680","10,695",
Aug-21,UGN,IL,AGL,CE,Federal Contract Tower,0,303,508,3,814,0,0,64,0,64,0,3,"3,039",37,"3,079",0,0,318,10,328,"1,977",12,"1,989","5,882","6,274",
Aug-21,VNY,CA,AWP,WE,Towers with Radar,5,"3,282","3,894",9,"7,190","1,988",766,469,3,"3,226",0,35,"8,343",31,"8,409",1,26,"1,558",25,"1,610","11,335",0,"11,335","26,934","31,770",
Sep-21,ACY,NJ,AEA,EN,Combined TRACON & Tower with Radar,585,486,767,377,"2,215",0,0,4,3,7,0,13,909,521,"1,443",0,2,54,8,64,378,728,"1,106","4,764","4,835",
Sep-21,AMA,TX,ASW,CE,Combined TRACON & Tower with Radar,646,478,666,686,"2,476",0,0,10,2,12,0,7,367,71,445,0,36,206,20,262,303,336,639,"3,560","3,834",
Sep-21,ANC,AK,AAL,WE,Towers with Radar,"11,970","3,848","1,549",210,"17,577",29,41,47,192,309,2,"2,859","7,332",86,"10,279",0,84,263,37,384,"1,044",0,"1,044","28,900","29,593",
Sep-21,APA,CO,ANM,WE,Towers with Radar,3,"2,882","4,042",173,"7,100",1,2,2,2,7,0,"1,709","7,565",116,"9,390",0,74,184,9,267,"13,543",13,"13,556","30,046","30,320",
Sep-21,ATL,GA,ASO,ES,Towers with Radar,"56,782","3,130",352,7,"60,271",42,15,49,1,107,1,5,135,16,157,0,27,171,179,377,0,0,0,"60,428","60,912",
Sep-21,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,"12,796","1,829","2,971",165,"17,761",0,0,0,0,0,0,36,"1,488",156,"1,680",0,0,0,0,0,0,0,0,"19,441","19,441",
Sep-21,AVL,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,154","1,299","1,607",234,"4,294",1,1,9,2,13,0,38,"1,287",47,"1,372",0,82,20,3,105,"1,448",55,"1,503","7,169","7,287",
Sep-21,BCT,FL,ASO,ES,Federal Contract Tower,0,806,"1,189",2,"1,997",0,4,14,0,18,0,4,"2,211",2,"2,217",0,2,"2,026",38,"2,066","3,216",14,"3,230","7,444","9,528",
Sep-21,BDL,CT,ANE,EN,Towers with Radar,"4,238","1,158",789,63,"6,248",2,14,64,9,89,0,9,356,102,467,0,30,279,5,314,41,15,56,"6,771","7,174",
Sep-21,BED,MA,ANE,EN,Towers with Radar,38,"1,980","2,481",27,"4,526",0,7,19,0,26,0,456,"2,859",6,"3,321",1,28,379,2,410,"2,874",0,"2,874","10,721","11,157",
Sep-21,BFI,WA,ANM,WE,Towers with Radar,700,"2,001","2,640",26,"5,367",40,23,293,0,356,0,836,"4,940",17,"5,793",0,582,"1,179",49,"1,810","5,459",6,"5,465","16,625","18,791",
Sep-21,BFM,AL,ASO,CE,Federal Contract Tower,136,92,308,135,671,15,3,5,3,26,0,65,296,474,835,0,99,32,93,224,146,"2,118","2,264","3,770","4,020",
Sep-21,BJC,CO,ANM,WE,Towers with Radar,3,829,"1,418",9,"2,259",1,18,50,1,70,8,95,"6,856",96,"7,055",0,36,227,8,271,"10,922",209,"11,131","20,445","20,786",
Sep-21,BKL,OH,AGL,CE,Federal Contract Tower,16,479,608,45,"1,148",0,10,10,0,20,0,412,"1,067",23,"1,502",0,800,114,1,915,"1,024",8,"1,032","3,682","4,617",
Sep-21,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,"14,639","2,393","2,228",97,"19,357",11,29,117,2,159,0,99,"1,022",119,"1,240",0,267,829,22,"1,118",0,0,0,"20,597","21,874",
Sep-21,BOS,MA,ANE,EN,Towers with Radar,"20,514","4,301",818,9,"25,642",13,83,103,0,199,0,"2,035",391,46,"2,472",0,588,431,21,"1,040",0,0,0,"28,114","29,353",
Sep-21,BTR,LA,ASW,CE,Combined TRACON & Tower with Radar,809,620,"1,384",46,"2,859",0,0,11,3,14,0,85,"1,416",51,"1,552",0,38,106,14,158,931,0,931,"5,342","5,514",
Sep-21,BUF,NY,AEA,CE,Combined TRACON & Tower with Radar,"3,157","1,087",797,28,"5,069",8,1,11,0,20,0,196,550,6,752,0,99,92,5,196,0,0,0,"5,821","6,037",
Sep-21,BWI,MD,AEA,EN,Towers with Radar,"15,040","1,422",987,80,"17,529",18,6,31,1,56,0,49,289,30,368,0,299,662,48,"1,009",0,0,0,"17,897","18,962",
Sep-21,BZN,MT,ANM,WE,Federal Contract Tower,"2,147",818,"1,162",23,"4,150",0,0,3,0,3,0,83,"3,708",12,"3,803",0,10,40,2,52,"3,941",34,"3,975","11,928","11,983",
Sep-21,CHO,VA,AEA,EN,Federal Contract Tower,485,"1,771","1,742",215,"4,213",0,0,0,0,0,0,473,"2,225",175,"2,873",0,400,232,91,723,"4,011","1,216","5,227","12,313","13,036",
Sep-21,CHS,SC,ASO,ES,Combined TRACON & Tower with Radar,"4,685","1,049","1,996",628,"8,358",13,11,39,7,70,0,118,"1,299",72,"1,489",0,14,52,9,75,89,235,324,"10,171","10,316",
Sep-21,CID,IA,ACE,CE,Combined TRACON & Tower with Radar,"1,219",957,559,10,"2,745",0,0,0,0,0,1,11,688,0,700,0,18,23,1,42,582,0,582,"4,027","4,069",
Sep-21,CMA,CA,AWP,WE,Towers with Radar,0,397,"1,850",7,"2,254",0,4,59,237,300,0,36,"5,268",9,"5,313",0,0,96,28,124,"9,268",0,"9,268","16,835","17,259",
Sep-21,CMH,OH,AGL,CE,Combined TRACON & Tower with Radar,"5,828","1,386","1,415",2,"8,631",83,236,192,2,513,0,68,295,9,372,0,447,582,3,"1,032",0,0,0,"9,003","10,548",
Sep-21,DAL,TX,ASW,CE,Towers with Radar,"10,681","3,667","4,077",29,"18,454",7,60,284,1,352,0,149,406,24,579,0,749,559,761,"2,069",0,0,0,"19,033","21,454",
Sep-21,DCA,DC,AEA,EN,Towers with Radar,"15,841",192,158,41,"16,232",12,11,57,1,81,0,13,6,83,102,0,"1,298","1,554","1,235","4,087",0,0,0,"16,334","20,502",
Sep-21,DEN,CO,ANM,WE,Towers with Radar,"43,819","11,010",262,18,"55,109",1,12,9,0,22,0,6,39,11,56,0,10,52,25,87,0,0,0,"55,165","55,274",
Sep-21,DSM,IA,ACE,CE,Combined TRACON & Tower with Radar,"2,703",459,"1,299",92,"4,553",33,11,86,1,131,1,33,830,37,901,3,390,264,1,658,469,38,507,"5,961","6,750",
Sep-21,DTW,MI,AGL,CE,Towers with Radar,"21,202","3,830",377,2,"25,411",56,61,61,0,178,0,2,144,3,149,0,5,75,9,89,0,0,0,"25,560","25,827",
Sep-21,EGE,CO,ANM,WE,Federal Contract Tower,218,"1,090","1,107",12,"2,427",0,0,0,0,0,0,2,918,213,"1,133",0,0,46,0,46,"1,206",170,"1,376","4,936","4,982",
Sep-21,EWR,NJ,AEA,EN,Towers with Radar,"23,493","1,072",349,8,"24,922",18,104,122,5,249,0,149,721,30,900,0,220,"6,053",70,"6,343",0,0,0,"25,822","32,414",
Sep-21,EYW,FL,ASO,ES,Federal Contract Tower,"1,326",250,694,0,"2,270",10,6,6,216,238,0,108,"1,363",2,"1,473",0,124,48,"1,374","1,546",90,0,90,"3,833","5,617",
Sep-21,FAT,CA,AWP,WE,Combined TRACON & Tower with Radar,"2,085",759,753,183,"3,780",1,0,4,0,5,4,216,"2,592",352,"3,164",6,68,326,8,408,718,150,868,"7,812","8,225",
Sep-21,FAY,NC,ASO,EN,Combined TRACON & Tower with Radar,557,38,537,356,"1,488",0,0,8,1,9,0,31,627,95,753,0,14,197,18,229,"1,190",210,"1,400","3,641","3,879",
Sep-21,FDK,MD,AEA,EN,Federal Contract Tower,0,76,433,5,514,0,0,1,0,1,0,185,"2,674",13,"2,872",0,28,95,72,195,"3,924",0,"3,924","7,310","7,506",
Sep-21,FLL,FL,ASO,ES,Towers with Radar,"16,916","1,701","1,675",27,"20,319",9,5,7,2,23,0,289,505,12,806,0,23,"1,271",44,"1,338",0,0,0,"21,125","22,486",
Sep-21,FSD,SD,AGL,CE,Combined TRACON & Tower with Radar,"1,351","1,857","1,335",125,"4,668",8,13,6,1,28,0,158,625,16,799,0,403,75,15,493,280,68,348,"5,815","6,336",
Sep-21,FSM,AR,ASW,ES,Combined TRACON & Tower with Radar,72,210,487,388,"1,157",0,0,0,1,1,0,27,671,110,808,0,56,54,9,119,240,106,346,"2,311","2,431",
Sep-21,FTW,TX,ASW,CE,Towers with Radar,18,885,"2,625",91,"3,619",97,13,67,41,218,0,109,"3,414",28,"3,551",0,371,426,19,816,"6,564",38,"6,602","13,772","14,806",
Sep-21,FTY,GA,ASO,ES,Federal Contract Tower,0,244,"1,274",0,"1,518",0,0,4,0,4,0,0,"1,547",0,"1,547",0,2,740,6,748,"2,880",0,"2,880","5,945","6,697",
Sep-21,FXE,FL,ASO,ES,Towers with Radar,1,"1,086","2,816",11,"3,914",1,8,85,4,98,0,311,"5,844",2,"6,157",0,20,418,1,439,"5,240",0,"5,240","15,311","15,848",
Sep-21,GEG,WA,ANM,WE,Combined TRACON & Tower with Radar,"3,837",780,363,96,"5,076",7,37,63,352,459,0,16,389,20,425,1,112,338,192,643,398,74,472,"5,973","7,075",
Sep-21,GRB,WI,AGL,CE,Combined TRACON & Tower with Radar,625,679,"1,002",51,"2,357",0,3,3,0,6,0,8,973,7,988,1,42,28,3,74,326,16,342,"3,687","3,767",
Sep-21,GRR,MI,AGL,CE,Towers with Radar,"2,488","1,202","1,325",8,"5,023",1,2,5,0,8,0,155,892,12,"1,059",0,14,41,1,56,600,10,610,"6,692","6,756",
Sep-21,GSO,NC,ASO,ES,Combined TRACON & Tower with Radar,"2,248","1,403","1,289",188,"5,128",3,4,17,3,27,1,11,"1,314",34,"1,360",0,4,45,1,50,"1,489",87,"1,576","8,064","8,141",
Sep-21,GYY,IN,AGL,CE,Federal Contract Tower,47,208,628,21,904,0,0,0,0,0,0,7,478,60,545,0,5,355,3,363,477,48,525,"1,974","2,337",
Sep-21,HEF,VA,AEA,EN,Towers with Radar,0,397,"1,193",58,"1,648",0,1,2,0,3,0,711,"2,368",110,"3,189",0,36,33,32,101,"4,852",22,"4,874","9,711","9,815",
Sep-21,HNL,HI,AWP,WE,Towers with Radar,"11,479","2,973",561,948,"15,961",0,0,0,0,0,0,"5,127","3,557",198,"8,882",0,0,2,2,4,0,1,1,"24,844","24,848",
Sep-21,HOU,TX,ASW,CE,Towers with Radar,"8,853","2,056","3,126",12,"14,047",17,26,36,8,87,0,66,948,35,"1,049",0,965,502,88,"1,555",0,0,0,"15,096","16,738",
Sep-21,HPN,NY,AEA,EN,Towers with Radar,"1,315","4,345","3,456",3,"9,119",3,11,14,1,29,0,746,"3,611",13,"4,370",0,31,241,6,278,784,0,784,"14,273","14,580",
Sep-21,HSV,AL,ASO,ES,Combined TRACON & Tower with Radar,"1,272",645,708,780,"3,405",1,2,5,11,19,0,58,867,215,"1,140",1,16,35,25,77,166,"1,380","1,546","6,091","6,187",
Sep-21,HXD,SC,ASO,ES,Federal Contract Tower,658,384,845,32,"1,919",0,0,0,0,0,0,5,"1,403",42,"1,450",0,0,61,95,156,222,22,244,"3,613","3,769",
Sep-21,IAD,VA,AEA,EN,Towers with Radar,"13,662","8,402","2,489",106,"24,659",20,33,33,8,94,0,30,68,6,104,0,170,162,65,397,0,0,0,"24,763","25,254",
Sep-21,IAH,TX,ASW,CE,Towers with Radar,"29,496","6,500",599,11,"36,606",40,11,14,0,65,0,34,75,5,114,0,111,304,38,453,0,0,0,"36,720","37,238",
Sep-21,ICT,KS,ACE,CE,Combined TRACON & Tower with Radar,"1,413","1,456","2,030",940,"5,839",0,7,9,44,60,0,132,"1,320",103,"1,555",0,50,133,14,197,928,526,"1,454","8,848","9,105",
Sep-21,IFP,AZ,AWP,WE,Federal Contract Tower,58,18,34,2,112,0,0,0,0,0,0,206,522,16,744,0,24,36,10,70,102,52,154,"1,010","1,080",
Sep-21,IND,IN,AGL,CE,Combined TRACON & Tower with Radar,"10,521","1,643","1,095",141,"13,400",3,24,63,0,90,0,"2,740",301,12,"3,053",0,97,159,18,274,0,0,0,"16,453","16,817",
Sep-21,INT,NC,ASO,ES,Federal Contract Tower,9,528,502,6,"1,045",0,0,4,0,4,0,111,"1,186",19,"1,316",0,390,114,4,508,"1,385",18,"1,403","3,764","4,276",
Sep-21,ISM,FL,ASO,ES,Federal Contract Tower,2,242,"1,300",7,"1,551",0,0,0,0,0,0,66,"2,821",0,"2,887",0,96,"1,781",0,"1,877","5,081",0,"5,081","9,519","11,396",
Sep-21,ITO,HI,AWP,WE,Combined TRACON & Tower with Radar,"1,149",410,33,126,"1,718",0,4,2,0,6,0,642,119,49,810,0,62,24,0,86,457,268,725,"3,253","3,345",
Sep-21,IXD,KS,ACE,CE,Federal Contract Tower,0,256,683,87,"1,026",0,0,28,0,28,0,177,"2,033",119,"2,329",0,20,208,0,228,"3,110",76,"3,186","6,541","6,797",
Sep-21,JAX,FL,ASO,ES,Combined TRACON & Tower with Radar,"4,673",864,900,190,"6,627",23,74,139,5,241,2,85,174,60,321,0,84,153,20,257,89,447,536,"7,484","7,982",
Sep-21,KOA,HI,AWP,WE,Federal Contract Tower,"2,882",204,163,173,"3,422",0,2,0,0,2,0,730,836,82,"1,648",0,9,15,1,25,"2,451",317,"2,768","7,838","7,865",
Sep-21,LAS,NV,AWP,WE,Towers with Radar,"28,649","3,808","4,272",908,"37,637",25,98,149,8,280,1,"8,690",312,56,"9,059",0,948,421,37,"1,406",0,0,0,"46,696","48,382",
Sep-21,LAX,CA,AWP,WE,Towers with Radar,"42,768","2,578","1,148",12,"46,506",31,8,7,0,46,0,7,57,10,74,0,11,"1,344",104,"1,459",0,0,0,"46,580","48,085",
Sep-21,LEX,KY,ASO,CE,Combined TRACON & Tower with Radar,876,"1,055","1,745",100,"3,776",1,0,11,2,14,0,90,"2,069",51,"2,210",0,34,58,4,96,"1,054",8,"1,062","7,048","7,158",
Sep-21,LFT,LA,ASW,CE,Combined TRACON & Tower with Radar,549,934,711,22,"2,216",0,1,1,0,2,0,"1,254",735,13,"2,002",0,151,101,3,255,486,2,488,"4,706","4,963",
Sep-21,LGB,CA,AWP,WE,Towers with Radar,"2,121",386,"2,283",50,"4,840",0,13,13,3,29,0,413,"6,995",17,"7,425",0,3,"1,347",30,"1,380","14,449",0,"14,449","26,714","28,123",
Sep-21,LIH,HI,AWP,WE,Federal Contract Tower,"2,583",295,101,104,"3,083",0,0,0,0,0,0,"5,303",203,28,"5,534",0,0,0,12,12,"1,135",65,"1,200","9,817","9,829",
Sep-21,LIT,AR,ASW,ES,Combined TRACON & Tower with Radar,"1,829","1,086","1,956",724,"5,595",11,8,29,33,81,0,111,"1,077",135,"1,323",0,477,186,17,680,206,434,640,"7,558","8,319",
Sep-21,LRD,TX,ASW,CE,Federal Contract Tower,577,"1,016",554,232,"2,379",0,0,0,0,0,0,38,831,77,946,0,0,56,37,93,152,"2,106","2,258","5,583","5,676",
Sep-21,LUK,OH,ASO,CE,Federal Contract Tower,15,"1,265","2,117",6,"3,403",0,14,9,0,23,0,146,"2,895",1,"3,042",0,364,307,3,674,"3,414",0,"3,414","9,859","10,556",
Sep-21,MAF,TX,ASW,CE,Combined TRACON & Tower with Radar,"1,297",438,"1,005",523,"3,263",3,10,39,6,58,1,9,639,186,835,0,36,524,1,561,94,84,178,"4,276","4,895",
Sep-21,MCI,MO,ACE,CE,Combined TRACON & Tower with Radar,"7,546",140,185,48,"7,919",9,16,10,12,47,0,35,116,36,187,0,5,171,41,217,4,0,4,"8,110","8,374",
Sep-21,MCO,FL,ASO,ES,Towers with Radar,"23,405",920,944,4,"25,273",20,0,1,0,21,2,30,114,4,150,0,8,33,1,42,0,0,0,"25,423","25,486",
Sep-21,MDW,IL,AGL,CE,Towers with Radar,"12,289","2,722","2,109",5,"17,125",7,1,8,0,16,0,58,732,18,808,0,101,255,41,397,0,0,0,"17,933","18,346",
Sep-21,MEM,TN,ASO,ES,Towers with Radar,"15,166","1,091","1,225",73,"17,555",17,9,13,1,40,0,12,146,27,185,0,66,206,16,288,0,0,0,"17,740","18,068",
Sep-21,MHT,NH,ANE,EN,Towers with Radar,"1,214",940,426,23,"2,603",0,16,70,3,89,0,153,767,20,940,2,29,301,14,346,488,12,500,"4,043","4,478",
Sep-21,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"26,358","1,658",673,71,"28,760",18,1,0,1,20,1,70,127,3,201,0,7,607,16,630,0,0,0,"28,961","29,611",
Sep-21,MKC,MO,ACE,CE,Towers with Radar,39,"1,592","1,685",16,"3,332",4,0,5,2,11,1,246,"2,673",51,"2,971",0,304,759,31,"1,094","3,042",12,"3,054","9,357","10,462",
Sep-21,MKE,WI,AGL,CE,Combined TRACON & Tower with Radar,"4,487","2,013",898,78,"7,476",2,14,54,2,72,0,168,606,14,788,0,22,126,4,152,16,0,16,"8,280","8,504",
Sep-21,MMU,NJ,AEA,EN,Towers with Radar,0,"1,070","1,537",6,"2,613",0,291,302,0,593,0,37,"2,391",6,"2,434",0,12,506,1,519,"4,456",0,"4,456","9,503","10,615",
Sep-21,MOB,AL,ASO,CE,Combined TRACON & Tower with Radar,452,520,367,"2,053","3,392",0,2,6,7,15,0,22,346,"1,011","1,379",0,28,24,13,65,216,"1,702","1,918","6,689","6,769",
Sep-21,MSP,MN,AGL,CE,Towers with Radar,"21,889","4,350",649,108,"26,996",188,259,705,5,"1,157",0,12,28,14,54,0,450,464,27,941,0,0,0,"27,050","29,148",
